numero;ano;data_pedido;recurso;situacao_pedido;orgao_solicitacao;descricao;arquivo_pedido;resposta;orgao_resposta;situacao_resposta;data_resposta;arquivos_resposta_pedido;arquivo_1o_recurso;descricao_1o_recurso;resposta_1o_recurso;orgao_1o_recurso;situacao_1o_recurso;data_resp_1o_recurso;arquivos_resposta_1o_recurso;arquivo_2o_recurso;descricao_2o_recurso;resposta_2o_recurso;orgao_2o_recurso;situacao_2o_recurso;data_resp_2o_recurso;arquivos_resposta_2o_recurso;motivo_pedido;sexo_solicitante;escolaridade_solicitante;profissao_solicitante;bairro_solicitante;cidade_solicitante;uf_solicitante;pais_solicitante;;;
20150024503006?;2015;21/07/2015;1;Respondido;AUTARQUIA DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE;Quantas pessoas morreram no trânsito do Recife em 2014 e em 2015 até a presente data? Solicito os dados separados por ano e por modal: ciclista, pedestre, moto (qualquer tipo), dentro de carro, dentro de ônibus.;;Prezado Senhor, resposta anexa;AUTARQUIA DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE;Respondido;07/08/2015;2015_2367_245_0_R.pdf;;Olá, a CTTU me informou apenas os mortos sem atendimento, já na rua. Para o objetivo da minha pesquisa, quero o número de mortos no trânsito para cada modal em 2014 e em 2015 inclusive os com atendimento hospitalar.;Prezado XXXXXXXXXX,A Companhia de Trânsito e Transporte Urbano do Recife / CTTU esclarece que não é informada sobre a evolução do quadro clínico dos acidentados após a remoção, não tomando ciência de óbitos posteriores. Essa informação pode ser disponibilizada pelos órgãos gestores de saúde do Estado, visto que os acidentados com maior gravidade são removidos para os hospitais de referência.Estamos à disposição para quaisquer esclarecimentos.Atenciosamente, Equipe do Portal da Transparência;AUTARQUIA DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE;Respondido;11/08/2015;;;;;;;;;Pesquisa;M;Ensino Superior;Servidor público federal;Parnamirim;Recife;Pernambuco;Brasil;;;
20150024672066?;2015;21/07/2015;;Respondido;CONTROLADORIA GERAL DO MUNICIPIO;Gostaria de saber qual o prazo máximo para os seguintes nomeados na Controladoria Geral do Recife tomar posse: Silvana Cavalcanti de Melo/ Cláudia Cristina Pereira Vieira/ Geraldo de Andrade Arruda Junior e Francisco Luciano Barbosa Mendes,Respeitosamente;;"Prezado XXXXXXXXXX, De acordo com o Art. 22 do Estatuto do Servidor, "" A posse verificar/se/á no prazo de 30 (trinta) dias, contados da publicação do ato específico de provimento no Diário Oficial da Cidade do Recife."" Portanto,  os servidores citados poderão tomar posse até o dia 05 de agosto de 2015, uma vez que a nomeação formalizada em Diário Oficial foi publicada no dia 06 de julho de 2015.Atenciosamente, Controladoria Geral do Município";CONTROLADORIA GERAL DO MUNICIPIO;Respondido;28/07/2015;;;;;;;;;;;;;;;;Pesquisa;M;Ensino Superior;Outra;Gracas;Recife;Pernambuco;Brasil;;;
20150024733999?;2015;21/07/2015;;Respondido;SECRETARIA DE MOBILIDADE E CONTROLE URBANO;Qual o custo total da obra da Via Mangue até agora?Qual a previsão do custo para a total conclusão da via?;;Mesma resposta anterior apenas corrigindo o valor executado que foi informado com uma inversão de soma.Desculpe/nos a demora, porém visando apresentar informações atualizadas preferimos aguardar a finalização de alguns procedimentos que estavam em fase final de conclusão.Total financeiro executado até o momento R$ 468.279.677,51 (na resposta anterior informado com uma inversão de soma R$ 467.829.677,51 / favor desconsiderar). A executar até o final do ano R$ 65.530.234,54 (correto).;AUTARQUIA DE URBANIZACAO DO RECIFE;Respondido;20/08/2015;;;;;;;;;;;;;;;;Pesquisa;M;Mestrado/Doutorado;Servidor público federal;Torre;Recife;Pernambuco;Brasil;;;
20150024868999?;2015;22/07/2015;;Respondido;GABINETE DO PREFEITO;PREZADOS, VENHO POR MEIO DESTA, SOLICITAR UMA CÓPIA EM FORMATO DIGITAL DA LEI 16.687/01, REFERENTE AO PPA 2002/2005, DESTA PREFEITURA. RESSALTO QUE TENHO ENCONTRADO SOMENTE O VOLUME 1, NO ENTANTO, PRECISO DO DOCUMENTO INTEGRAL, COM OS VOLUMES 1 E 2. GRATA!;;para XXXXXXXXXX, Portal   Prezada Bruna, Esclarecemos que encontram/se publicados, no Portal da Transparência, os volumes I e II do PPA 2002/2005, conforme link (http://transparencia.recife.pe.gov.br/uploads/pdf/ppa_2002/2005.pdf) . Estes volumes compõem um único documento, conforme anexo enviado.Estamos à disposição.Secretaria de Planejamento e Equipe do Portal;SECRETARIA DE PLANEJAMENTO E GESTÃO;Respondido;31/07/2015;2015_2325_248_0_R.pdf;;;;;;;;;;;;;;;Pesquisa;F;Mestrado/Doutorado;Servidor público federal;Encruzilhada;Recife;Pernambuco;Brasil;;;
20150024903006?;2015;22/07/2015;2;Respondido;AUTARQUIA DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE;"1. Qual o custo mensal de manutenção de controladores de velocidade (\""pardal/lombada eletrônica\"")?2. Atualmente, há quantos equipamentos desse tipo estão instalados na cidade?3. Há previsão de instalação de mais algum ainda em 2015? E em 2016?";;Senhor, Seguem respostas.Tipo A: 04 equipamentos Custo: R$ 4.301,15/faixa/mês/ Tipo B: 16 equipamentos Custo: R$ 4.306,34/faixa/mês/ Tipo C: 13 equipamentos Custo: R$ 4.792,25/faixa/mês. 2. Atualmente, há quantos equipamentos desse tipo estão instalados na cidade? 04 tipo A, 16 tipo B e 13 tipo C.3. Há previsão de instalação de mais algum ainda em 2015? E em 2016?Há a possibilidade de instalação da fiscalização eletrônica em mais 09 faixas de rolamento.;AUTARQUIA DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE;Respondido;30/07/2015;;;Considerando a resposta apresentada, insito:1. Qual o número do contrato por meio do qual se faz tal pagamento? Solicito acesso ao documento.2. Quais são as diferenças entre os equipamento controladores de velocidade do tipo A, B e C?;Prezado XXXXXXXXX,Inicialmente, pedimos desculpas, em nome da CTTU, pelo atraso na análise de seu recurso. A CTTU informa: 1. O contrato em questão é de nº 015/2011/2. A cópia do referido contrato está em anexo/3. Tipo A / Totem: apresenta um display, onde aparece a velocidade do veículo.     Tipo B / Bandeira. Bandeira ostensiva.     Tipo C / Lince. Equipamento discreto com ação inibidora em todo o trecho de fiscalização.Atenciosamente, Equipe do Portal da Transparência;AUTARQUIA DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE;Respondido;10/08/2015;2015_2408_249_0_R.pdf;;Considerando a resposta, qual a extensão da área de fiscalização do equipamento: 1. Tipo B / Bandeira?2. Tipo C / Lince?;"Prezado XXXXXXXXXX,Em atenção a demanda do CGAI nº 001/2015, segue resposta da Companhia de Trânsito e Transporte Urbano do Recife: ""1. Tipo B: A aferição da velocidade do veículo ocorre a aproximadamente 9 a 12 metros após passagem deste pelo equipamento.2. Tipo C: A aferição da velocidade do veículo ocorre a aproximadamente 9 a 12 metros após passagem deste pelo equipamento.""Atenciosamente,Equipe do Portal da Transparência.";AUTARQUIA DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE;Respondido;19/11/2015;2015_2691_249_0_R.pdf;Pesquisa;M;Mestrado/Doutorado;Servidor público federal;Torre;Recife;Pernambuco;Brasil;;;
20150025003006?;2015;23/07/2015;1;Respondido;AUTARQUIA DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE;1. Qual o custo médio de pintura de faixa de pedestre numa via de 7 metros de largura?2. Qual o custo médio de pintura de faixa de pedestre numa via de 10 metros de largura?;;Senhor, resposta anexa.;AUTARQUIA DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE;Respondido;03/08/2015;2015_2335_250_0_R.pdf;;Diante da resposta apresentada, solicito indicação do número e referência do contrato vigente para que se possa ter a resposta completa, conforme requerido.;Prezado XXXXXXXXX, Inicialmente, pedimos desculpas, em nome da CTTU, pelo atraso na análise de seu recurso. A CTTU informa que o contrato em referência é o de nº 001/2014, cuja cópia encontra/se em anexo.Atenciosamente, Equipe do Portal da Transparência;AUTARQUIA DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE;Respondido;10/08/2015;2015_2409_250_0_R.pdf;;;;;;;;Pesquisa;M;Mestrado/Doutorado;Servidor público federal;Torre;Recife;Pernambuco;Brasil;;;
20150025168050?;2015;26/07/2015;;Direcionado a outro órgão;GABINETE DO PREFEITO;Pedido de informação referente aos gastos da PCR com o Carnaval do Recife em 2015.;20150726_145233220150025168.pdf;;FUNDACAO DE CULTURA DA CIDADE DO RECIFE;Direcionado a outro órgão;27/07/2015;;;;;;;;;;;;;;;;Denúncia;M;Ensino Superior;Estudante;Jardim Primavera;Recife;Pernambuco;Brasil;;;
20150025269051?;2015;27/07/2015;;Respondido;SECRETARIA DE ADMINISTRAÇÃO E GESTÃO DE PESSOAS;Sou contadora, pelo concurso de 2003 com CH de 30 h/sem. Convocada em 08/2007 soube de acordo com o Sec. de finanças para um ganho maior e CH de 40 h. Pergunto: até a lei 16.935/2003 como era composta a remuneração do contador? Não participei das negociações.;;Prezada XXXXXXXXXX,Segue resposta em anexo.;SECRETARIA DE ADMINISTRAÇÃO E GESTÃO DE PESSOAS;Respondido;17/08/2015;2015_2540_252_0_R.pdf;;;;;;;;;;;;;;;Pesquisa;F;Pós-graduação;Servidor público municipal;Boa Viagem;Recife;Pernambuco;Brasil;;;
20150025372999?;2015;27/07/2015;;Respondido;CONTROLADORIA GERAL DO MUNICIPIO;Gostaria de saber qual o status da Rua Bernardo Sayão quanto ao seu calçamento. Há boatos antigos que consta como calçada. Além disso, gostaria de verificar se o seu calçamento consta em algum planejamento da Prefeitura.;;Prezado Rodrigo,Informamos que já foi realizado projeto executivo de pavimentação e drenagem que abrange a referida área.  Atualmente, o mesmo se encontra em análise orçamentária para posterior licitação.Atenciosamente,;SECRETARIA DE INFRAESTRUTURA E SERVIÇOS URBANOS;Respondido;21/08/2015;;;;;;;;;;;;;;;;Outros;M;Ensino Médio;Outra;Varzea;Recife;Pernambuco;Brasil;;;
20150025419019?;2015;27/07/2015;;Respondido;INSTITUTO DE ASSISTENCIA SOCIAL E CIDADANIA;Boa noite! Fiz a a seleção simplificada do CREAS realizado no ano de 2013 e gostaria de saber se irão continuar a chamar os classificados.Obrigada pela atenção.;;Prezada XXXXXXXXXX,A Secretaria de Desenvolvimento Social e Direitos Humanos / SDSDH informa que até o momento foram convocados 28 (vinte e oito) Assistentes Sociais da Seleção Simplificada SDSDH / CREAS/2013. A secretaria informa ainda que Ana Heloisa de Lima Coutinho ocupa a 42° posição na ordem de classificação da referida seleção, e assegura que só haverá nova convocação, caso ocorra alguma desistência.Atenciosamente, Equipe do Portal da Transparência;SECRETARIA DE DESENVOLVIMENTO SOCIAL E DIREITOS HUMANOS;Respondido;03/08/2015;;;;;;;;;;;;;;;;Outros;F;Pós-graduação;Outra;Casa Amarela;Recife;Pernambuco;Brasil;;;
20150025534005?;2015;28/07/2015;;Respondido;SECRETARIA DE SAÚDE;Boa tarde! Gostaria de solicitar o quantitativo de profissionais nuutricionistas, com jornada de 30h semanais, pertencentes ao quadro da Secretaria Municipal de Saude do Recife, bem como seus locais de atuação (policlinicas, vigilância em saúde...).;;Prezada, segue em anexo a resposta à solicitação, segundo parecer da Secretaria Executiva de Gestão de Pessoas e Educação na Saúde.;SECRETARIA DE SAÚDE;Respondido;14/08/2015;2015_2487_255_0_R.pdf;;;;;;;;;;;;;;;Outros;F;Pós-graduação;Outra;Sitio Novo;Olinda;Pernambuco;Brasil;;;
20150025636999?;2015;28/07/2015;;Respondido;SECRETARIA DE TURISMO E LAZER;Acerca do serviço de transporte de pessoas (vans) aos domingos do estacionamento da Prefeitura para o Marco Zero, pergunto:a) qual o custo mensal do serviço?b) desde quando o serviço vem sendo realizado?c) qual a previsão de manutenção do serviço?;;Prezado XXXXXXXXXX, A Secretaria de Turismo e Lazer informa que:a) O custo mensal do serviço é de R$ 1.445,92.b) O serviço vem sendo realizado desde a primeira edição do Recife Antigo de Coração, no dia 24/03/2013.c) Por enquanto, o serviço deve permanecer, sem prazo para ser encerrado.Estamos à disposição para quaisquer esclarecimentos.Atenciosamente, Equipe do Portal da Transparência;SECRETARIA DE TURISMO E LAZER;Respondido;06/08/2015;;;;;;;;;;;;;;;;Pesquisa;M;Mestrado/Doutorado;Servidor público federal;Torre;Recife;Pernambuco;Brasil;;;
20150025748999?;2015;28/07/2015;;Respondido;SECRETARIA DE DESENVOLVIMENTO SOCIAL E DIREITOS HUMANOS;Boa noite! Fiz seleção simplificada do CREAS em 2013 para o cargo de Assistente social e gostaria de saber se irão continuar a chamar. Ainda está na vaidade. obrigada pela atenção.;;Não serão realizadas novas nomeações da referida seleção simplificada.;SECRETARIA DE DESENVOLVIMENTO SOCIAL E DIREITOS HUMANOS;Respondido;10/08/2015;;;;;;;;;;;;;;;;Outros;F;Pós-graduação;Outra;Casa Amarela;Recife;Pernambuco;Brasil;;;
20150025829007?;2015;28/07/2015;;Respondido;SECRETARIA DE MEIO AMBIENTE E SUSTENTABILIDADE;Laudos técnicos sobre as árvores da Rua da Amizade (Graças), acompanhados dos seus históricos de manutenção, bem como o histórico de podas e erradicações realizadas entre 01/01/15 e 19/07/15 na rua e a programação de replantios para 2015 no bairro.;20150728_211433720150025829.pdf;Boa tarde, segue Ficha de laudo Técnico para Serviços de Poda e Erradicação adotados pela Emlurb com referência da Rua da Amizade, 67, relatando as medidas tomadas e a serem realizadas.;SECRETARIA DE MEIO AMBIENTE E SUSTENTABILIDADE;Respondido;06/08/2015;2015_2354_258_0_R.pdf;;;;;;;;;;;;;;;Outros;M;Pós-graduação;Membro de ONG nacional;Gracas;Recife;Pernambuco;Brasil;;;
20150025969053?;2015;28/07/2015;;Respondido;SECRETARIA DE ADMINISTRAÇÃO E GESTÃO DE PESSOAS;Presados, Gostaria de solicitar a relação dos profissionais de Nutrição com a jornada de trabalho de 30 horas sem. que pertencem ao quadro da Secretaria Municipal de Saúde, bem como os locais em que encontram/se em atuação (policlínicas, vigilância em saúde...;;Segue resposta em anexo.;SECRETARIA DE ADMINISTRAÇÃO E GESTÃO DE PESSOAS;Respondido;17/08/2015;2015_2553_259_0_R.pdf;;;;;;;;;;;;;;;Outros;F;Pós-graduação;Profissional autônomo;Boa Vista;Recife;Pernambuco;Brasil;;;
20150026003003?;2015;29/07/2015;;Respondido;AUTARQUIA DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE;RECISO TER ACESSO AO CONVENIO DE COORDENAÇÃO DE TRANSITO FIRMADO ENTRE O DETRAN/PE E A CTTU DESDE 2003 E A TODAS AS ALTERAÇÕES POSTERIORES, SE HOUVER, A FIM DE ME INTEIRAR DAS COMPETÊNCIAS DAS MULTAS MUNICIPAIS DE RECIFE,  NOS TERMOS DO ART. 25 DO CTB.;;Prezado José Antônio, Pedimos desculpas, em nome da Companhia de Trânsito e Transporte Urbano do Recife / CTTU, pelo atraso na análise de seu pedido. Em anexo, encaminhamos cópia do Convênio nº 029/2010, celebrado entre DETRAN e Município do Recife.Atenciosamente, Equipe do Portal da Transparência;AUTARQUIA DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE;Respondido;11/09/2015;2015_3017_260_0_R.pdf;;;;;;;;;;;;;;;Pesquisa;M;Ensino Superior;Servidor público estadual;Vila Da Fabrica;Camaragibe;Pernambuco;Brasil;;;
20150026133028?;2015;29/07/2015;1;Respondido;SECRETARIA DE MOBILIDADE E CONTROLE URBANO;Qual o padrão normativo (normas técnicas) para construção e manutenção de calçadas nos bairros da Cidade do Recife?;;;SECRETARIA DE MOBILIDADE E CONTROLE URBANO;Respondido;10/08/2015;2015_2393_261_0_R.pdf;;Considerando a resposta, gostaria de confirmar: o conteúdo do folder anexo enviado é o regramento completo, utilizado pela Prefeitura para construções e fiscalizações de construções de calçadas?;Prezado , A resposta da Secretaria de Mobilidade e Controle Urbano segue em anexo.Atenciosamente, Equipe do Portal da Transparência;SECRETARIA DE MOBILIDADE E CONTROLE URBANO;Respondido;17/08/2015;2015_2544_261_0_R.pdf;;;;;;;;Pesquisa;M;Mestrado/Doutorado;Servidor público federal;Torre;Recife;Pernambuco;Brasil;;;
20150026233028?;2015;29/07/2015;2;Respondido;SECRETARIA DE MOBILIDADE E CONTROLE URBANO;Acerca de fiscalização do padrão de calçadas do Recife:a) qual o órgão responsável pela fiscalização?b) quantas fiscalizações foram realizadas em 2013? c) Em 2014? d) 2015?;;A PCR informa: a)/que o Órgão Responsável pela fiscalização de calçadas é a SECON – Secretaria Executiva Controle Urbano/ b)/No ano de 2013 foram realizadas 483 autuações/ c)/em 2014 foram 138 autuações c)/e em 2015, até 07.08.15 / 78 autuações.;SECRETARIA DE MOBILIDADE E CONTROLE URBANO;Respondido;17/08/2015;;;Ante a resposta incompleta, insisto:1. a SECON é órgão da SEMOC (mobilidade e controle urbano)?2. a pergunta foi sobre o número de AÇÕES DE FISCALIZAÇÃO (biltzes ou visitas) da SECON no período, NÃO de AUTUAÇÕES/PUNIÇÕES. Assim, reitero as perguntas.;Prezado, A Secretaria de Mobilidade e Controle Urbano / SEMOC informa:1. A SECON – Secretaria Executiva Controle Urbano é uma secretaria executiva subordinada a SEMOC.2. ACÕES DE FISCALIZAÇÃO (biltzes ou visitas) da SECON:     ano   /  nº de ações    2013  /    51.027    2014  /    29.042    2015  /      2.741Atenciosamente, Equipe do Portal da Transparência;SECRETARIA DE MOBILIDADE E CONTROLE URBANO;Respondido;18/08/2015;;;Considerando a resposta, favor indicar a relação dos endereços que tiveram suas calçadas fiscalizadas em:a) 2013?b) 2014?c) 2015?Favor indicar, dentre eles, quais foram autuados.;Prezado XXXXXXXXXX,  Agora sim, segue, em anexo, a resposta do Comitê Gestor de Acesso à Informação / CGAI, referente ao 2º Recurso, interposto em 18/08/2015. Estamos à disposição para quaisquer esclarecimentos. Atenciosamente,  Equipe do Portal da Transparência;SECRETARIA DE MOBILIDADE E CONTROLE URBANO;Respondido;27/08/2015;2015_2639_262_0_R.pdf, 2015_2705_262_0_R.pdf;Pesquisa;M;Mestrado/Doutorado;Servidor público federal;Torre;Recife;Pernambuco;Brasil;;;
20150026333028?;2015;29/07/2015;2;Respondido;SECRETARIA DE MOBILIDADE E CONTROLE URBANO;Acerca da fiscalização das calçadas do Recife:a) quantos imóveis foram autuados/multados em 2013?b) em 2014?c) em 2015?Quanto de multa foi executado/apurado:d) em 2013?e) em 2014?f) em 2015?Qual as localidades das autuações registradas em cada ano?;;A)/No ano de 2013 foram realizadas 483 autuações/ b)/em 2014 foram 138 autuações c)/e em 2015 até 07.08.15/78 autuações. Quanto à arrecadação com multas foram pagos em 2013/R$ 5.004,76/ em 2014/ R$1.014,91 e em 2015/R$ 751,52. Quanto à pergunta sobre as localidades das autuações registradas em cada ano, solicitamos um prazo de 05 (cinco) dias para resposta a este item de sua demanda, tendo em vista que a pesquisa não foi concluída.;SECRETARIA DE MOBILIDADE E CONTROLE URBANO;Respondido;17/08/2015;;;Considerando a resposta, insistem saber qual o valor de multa aplicado em decorrência da fiscalização de calçadas/passeios públicos (ainda que não tenham sido pagos), em:a) 2013?b) 2014?c) 2015?;A SEMOC disponibiliza, em anexo, a relação dos logradouros autuados/multados em 2013, 2014 e em parte de 2015, informando ainda: a) Em 2013 foram realizadas 495 autuações/ executado R$ 125.771,04/ apurado R$ 4.626,48/ não pago R$ 121.141,56. b) Em 2014 foram realizadas 141 autuações/ executado R$ 25.517,62/ apurado R$ 971,47/ não pago R$ 24.546,15. C) Em 2015, até 07/08/2015, foram realizadas 110 autuações/ executado R$ 24.585,71/ apurado R$ 714,34/ não pago R$ 23.871,37.Equipe do Portal;SECRETARIA DE MOBILIDADE E CONTROLE URBANO;Respondido;08/09/2015;2015_2901_263_0_R.pdf;;Considerando que, quanto às localidades das autuações, o PINF não foi respondido completamente, insisto:1. favor discriminar as autuações por ano/2. favor indicar as localizações (número e endereço completo) e não apenas a rua do imóvel autuado.;Prezado XXXXXXXXXX,  Segue, em anexo, a resposta do Comitê Gestor de Acesso à Informação / CGAI, referente ao 2º Recurso, interposto em 08/09/2015. Estamos à disposição para quaisquer esclarecimentos. Atenciosamente,  Equipe do Portal da Transparência;SECRETARIA DE MOBILIDADE E CONTROLE URBANO;Respondido;23/09/2015;2015_3105_263_0_R.pdf;Pesquisa;M;Mestrado/Doutorado;Servidor público federal;Torre;Recife;Pernambuco;Brasil;;;
20150026403006?;2015;29/07/2015;1;Respondido;AUTARQUIA DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE;Quantas infrações por excesso de velocidade (art. 218, CTB) foram registradas no Recife:a) em 2013?b) em 2014?c) em 2015?Quantas infrações foram registradas por localidade?d) em 2013?e) em 2014?f) em 2015?;;Senhor, resposta anexa.;AUTARQUIA DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE;Respondido;10/08/2015;2015_2401_264_0_R.pdf;;Considerando a resposta, solicito o encaminhamento da tabela mencionada, mas não anexada (relativa às localidades das infrações) enviada ao DETRAN.Aproveito, ainda, para solicitar o encaminhamento das tabelas remetidas ao DETRAN no período jan/13 a jul/15.;A CTTU informa que o CD foi entregue ao requerente no dia 12/08/2015.Equipe do Portal da Transparência;AUTARQUIA DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE;Respondido;13/08/2015;;;;;;;;;Pesquisa;M;Mestrado/Doutorado;Servidor público federal;Torre;Recife;Pernambuco;Brasil;;;
20150026520002?;2015;30/07/2015;;Respondido;SECRETARIA DE EDUCACAO;Gostaria da relação dos espaço alugados ( casa, prédio, terreno detre outros) da secretaria de educação da prefeitura do Recife.;;Prezado Sr. XXXXXXXXXX,Em atendimento, remetemos cópia de arquivo eletrônico com a relação de todos os contratos de locação de imóveis da Secretaria de Educação contemplando informações sobre a localização (endereço) e o tipo de utilização (se escola, creche ou unidade administrativa).;SECRETARIA DE EDUCACAO;Respondido;18/08/2015;2015_2563_265_0_R.pdf;;;;;;;;;;;;;;;Estudo;M;Ensino Superior;Outra;Gracas;Recife;Pernambuco;Brasil;;;
20150026634002?;2015;30/07/2015;;Respondido;SECRETARIA DE SAÚDE;Gostaria da relação dos espaço alugados ( casa, prédio, terreno detre outros) da secretaria de saúde da prefeitura do Recife.;;Bom dia! Conforme solicitado, segue em anexo a lista dos espaços alugados  pela Secretaria de Saúde do Recife.;SECRETARIA DE SAÚDE;Respondido;10/08/2015;2015_2388_266_0_R.pdf;;;;;;;;;;;;;;;Estudo;M;Ensino Superior;Outra;Gracas;Recife;Pernambuco;Brasil;;;
20150026779065?;2015;31/07/2015;;Respondido;SECRETARIA DE SEGURANÇA URBANA;Solicito cópia do Projeto Executivo completo da reforma em andamento da Biblioteca Popular de Casa Amarela, incluindo caderno de especificações e orçamento da obra, em arquivos de formato digital abertos como dwg, doc, xls etc.;;Em cumprimento às determinações da Lei de Acesso a Informação, encaminho Projetos Executivos e Planilha Orçamentária da Reforma da Biblioteca de Casa Amarela.;GABINETE DE PROJETOS ESPECIAIS;Respondido;19/08/2015;2015_2611_267_0_R.pdf, 2015_2611_267_1_R.pdf, 2015_2611_267_2_R.pdf, 2015_2611_267_3_R.pdf, 2015_2611_267_4_R.pdf, 2015_2611_267_5_R.pdf;;;;;;;;;;;;;;;Outros;M;Ensino Superior;Profissional autônomo;Poco;Recife;Pernambuco;Brasil;;;
20150026860999?;2015;31/07/2015;;Respondido;SECRETARIA DE FINANÇAS;Sou contribuinte com inscrição 027.126/8( Médica autônoma), pagando ISS semestralmente. Não sei se estou com débito automático ou não, porquanto retiro extrato bancário e não aparece qualquer pagamento,, e muito  menos agendamento. Esclareçam.;;Segue arquivo anexo com a resposta ao questionamento.;SECRETARIA DE FINANÇAS;Respondido;04/08/2015;2015_2341_268_0_R.pdf;;;;;;;;;;;;;;;Outros;F;Ensino Superior;Profissional liberal;Jaqueira;Recife;Pernambuco;Brasil;;;
20150026903006?;2015;03/08/2015;;Respondido;AUTARQUIA DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE;Solicito informação sobre a quantidade de chamadas recebidas no 0800/081/1078 no dia 03/08/15 sobre o trânsito da Rua Gervásio Fioravante, nas Graças.;;Prezado Senhor, neste dia foram registradas 4(quatro) chamadas para esta rua. Atenciosamente.;AUTARQUIA DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE;Respondido;07/08/2015;;;;;;;;;;;;;;;;Outros;M;Pós-graduação;Membro de ONG nacional;Gracas;Recife;Pernambuco;Brasil;;;
20150027372066?;2015;05/08/2015;;Respondido;CONTROLADORIA GERAL DO MUNICIPIO;Prezados,Fui aprovado para o cargo de analista de controle interno e gostaria de saber se a candidata SILVANA CAVALCANTI DE MELO tomou posse.Atenciosamente,;;PrezadoXXXXXXXXXX, A candidata SILVANA CAVALCANTI DE MELO não tomou posse. Seu prazo expirou em 05 de agosto do ano em curso.Atenciosamente, Equipe do Portal da Transparência;CONTROLADORIA GERAL DO MUNICIPIO;Respondido;25/08/2015;;;;;;;;;;;;;;;;Outros;M;Ensino Superior;Servidor público estadual;Boa Vista;Recife;Pernambuco;Brasil;;;
20150027468005?;2015;06/08/2015;;Respondido;GABINETE DO PREFEITO;BOM DIA,  AGRADEÇO PELO ESPAÇO PROPORCIONADO POR VOSSA SENHORIA , PARA NÓS CIDADÃOS. GOSTARIA DE SABER DO EXCELENTÍSSIMO SENHOR PREFEITO COM RESPEITO A CONVOCAÇÃO DE TÉCNICOS EM RADIOLOGIA PARA COBRIR AS VAGAS DOS QUE PEDIRAM EXONERAÇÃO, HÁ PREVISÃO PARA ISSO?;;Boa tarde. Segue retorno da Secretaria Executiva de Gestão de Pessoas e Educação na Saúde:Esclarecemos que o concurso público tem vigência até 2016. Estamos realizando dimensionamento dos recursos humanos para a Secretaria de Saúde, com a finalidade de identificarmos a necessidade de recomposições das equipes e planejarmos as áreas prioritárias. Estamos cientes do prazo do concurso.;SECRETARIA DE SAÚDE;Respondido;26/08/2015;;;;;;;;;;;;;;;;Outros;M;Ensino Médio;não informado;Varzea;Recife;Pernambuco;Brasil;;;
20150027833028?;2015;06/08/2015;;Respondido;SECRETARIA DE MOBILIDADE E CONTROLE URBANO;Qual o orçamento previsto para reforma/construção de calçadas em:a) 2013?b) 2014?c) 2015?Do orçamento previsto, quanto foi executado em:d) 2013?e) 2014?;;Prezado Senhor,2013 / orçado/executado: R$ 3.000.000,00/R$ 2.948.000,00/2014 / orçado/executado: R$ 8.300.000,00/R$ 8.298.000,00 e2015 / orçado/executado/ R$ 2.060.000,00/R$ 1.087.000,00.Atenciosamente,;AUTARQUIA DE MANUTENCAO E LIMPEZA URBANA;Respondido;11/08/2015;;;;;;;;;;;;;;;;Estudo;M;Mestrado/Doutorado;Servidor público federal;Torre;Recife;Pernambuco;Brasil;;;
20150027933028?;2015;06/08/2015;1;Respondido;SECRETARIA DE MOBILIDADE E CONTROLE URBANO;Quais os trechos de calçadas que foram construídos/reformados em:a) 2013?b) 2014?c) 2015?Favor indicar a extensão do trecho, bem como o valor da obra.;;Prezado Senhor,Conforme arquivo, em anexo.Atenciosamente;AUTARQUIA DE MANUTENCAO E LIMPEZA URBANA;Respondido;14/08/2015;2015_2488_279_0_R.pdf;;Considerando que a pergunta não foi totalmente respondida, insisto:1. qual o ano de cada reforma de calçada (2013, 2014 e 2015)?2. qual a extensão de cada trecho reformado (não apenas endereço)? 3. qual o valor de cada obra?;"Prezado,A Empresa de Manutenção e Limpeza Urbana informa:""Trata/se de dados insertos nos boletins de medição. O solicitante deverá agendar consulta, junto a Diretoria Executiva de Manutenção, com Marília Dantas, pelo fone 99844.6071 ou 33555574, para o atendimento. ""Atenciosamente,Equipe do Portal da Transparência";AUTARQUIA DE MANUTENCAO E LIMPEZA URBANA;Respondido;31/08/2015;;;;;;;;;Estudo;M;Mestrado/Doutorado;Servidor público federal;Torre;Recife;Pernambuco;Brasil;;;
